Neuron_type,Modality,Neurotransmitter,Ciliated,Pharyngeal,Nb_Processes,Process_Position,Branching,Sexual_dimorphism,Mechanosensation,Gentle_Touch,Harsh_Touch,Nociception,Proprioception,Chemosensation,Thermosensation,Photosensation,Electrosensation,Texture,Oxygen_sensory,CO2_sensory,Odorsensation,Pheromone_sensory,Magnetic_Field,Humidity,Osmosensation,Dauer_Entry
PLM,sensory,glu,No,no,2,VS,1,none,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLN,"sensory,interneuron",ACh,No,no,2,VS,0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PQR,sensory,glu,Yes,no,2,VNC,0,none,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PVC,interneuron,ACh,No,no,1,VNC,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVD,sensory,glu,No,no,3,CA/VNC,3,none,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVM,sensory,unknown,No,no,1,VNC,0,none,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVN,"motor,interneuron",ACh,No,no,1,VNC,2,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVP,interneuron,ACh,No,no,1,VNC,0,sexually_dimorphic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVQ,interneuron,glu,No,no,1,VNC,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVR,interneuron,glu,Yes,no,2,VNC,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVT,interneuron,unknown,No,no,1,VNC,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVW,interneuron,unknown,No,no,1,VNC,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
